Ticker,Name,Price,Dividend Yield,Market Cap ($M),Forward P/E Ratio,Payout Ratio,Beta
AMSF,"AMERISAFE, Inc.",69.33,0.013987022,1338.455,17.19,0.240850176,0.603588689
AMSWA,"American Software, Inc.",14.945,0.03024055,464.920326,65.58,1.939180256,0.934410597
AMTB,"Amerant Bancorp, Inc.",19.39,N/A,830.02568,15.91,N/A,0.812302314
AMWD,American Woodmark Corp.,114.575,N/A,1933.50772,21.71,N/A,1.333697197
ANAB,"AnaptysBio, Inc.",16.59,N/A,429.25197,-4.75,N/A,1.260424909
ANDE,"The Andersons, Inc.",24.12,0.028018129,791.202,20.18,0.570374098,1.314548446
ANF,Abercrombie & Fitch Co.,17.29,0.046674446,1075.50072,21.49,0.994282873,1.398870298
ANGO,"AngioDynamics, Inc.",12.95,N/A,489.51426,8.77,N/A,0.807159483
ANH,Anworth Mortgage Asset Corp.,3.62,0.130193906,356.83406,-2.74,-0.35562954,0.457263493
ANIK,"Anika Therapeutics, Inc.",42.01,N/A,597.01496,19.14,N/A,0.677928471
ANIP,"ANI Pharmaceuticals, Inc.",65.61,N/A,793.644313,48.09,N/A,0.631039819
AOBC,American Outdoor Brands Corp.,10.305,N/A,557.76793,171.67,N/A,0.85833241
AOSL,Alpha & Omega Semiconductor Ltd.,11.235,N/A,271.31065,280.25,N/A,1.899662144
APAM,"Artisan Partners Asset Management, Inc.",38.09,0.06295012,2922.017537,14.05,0.870655943,1.52461067
APEI,"American Public Education, Inc.",25.035,N/A,373.714314,30.92,N/A,1.005219943
APLS,"Apellis Pharmaceuticals, Inc.",41.425,N/A,3185.00606,-11.08,N/A,1.390299878
APOG,"Apogee Enterprises, Inc.",33.43,0.021160822,876.88464,23.19,0.485672657,1.294223771
APPF,"AppFolio, Inc.",137.4,N/A,4693.6422,135.42,N/A,0.907106089
APPN,Appian Corp.,55.805,N/A,3651.787536,-67.68,N/A,0.937501812
APPS,"Digital Turbine, Inc.",6.795,N/A,506.30673,-78.23,N/A,1.628920474
APTS,"Preferred Apartment Communities, Inc.",11.38,0.088185654,553.026572,-5.8,-0.533054479,0.558840161
APYX,Apyx Medical Corp.,7.95,N/A,274.02736,-16.04,N/A,1.593291683
AQUA,Evoqua Water Technologies Corp.,23.52,N/A,2739.4741,45,N/A,1.714523728
ARA,"American Renal Associates Holdings, Inc.",9.26,N/A,298.68928,-18.03,N/A,1.739006807
ARAY,"Accuray, Inc.",3.695,N/A,325.6812,-244.37,N/A,0.852585268
ARCB,ArcBest Corp.,24.19,0.013913043,584.338,15.46,0.204629748,1.672494179
ARCH,"Arch Coal, Inc.",56.54,0.031206657,867.62256,3.99,0.12698144,1.346266053
ARDX,"Ardelyx, Inc.",7.81,N/A,637.548982,-4.73,N/A,0.858551764
ARES,Ares Management Corp.,40.63,0.030799801,9318.372261,45.8,1.397813099,1.269733453
ARGO,Argo Group International Holdings Ltd.,66.5,0.0180018,2288.63778,44.1,0.795808741,0.632186934
ARI,"Apollo Commercial Real Estate Finance, Inc.",18.47,0.1,2825.0808,13.92,1.387108933,0.450747284
ARL,"American Realty Investors, Inc.",14.79,N/A,238.196819,1.8,N/A,1.391466034
ARLO,"Arlo Technologies, Inc.",3.5,N/A,264.97975,-1.9,N/A,1.671550116
ARNA,"Arena Pharmaceuticals, Inc.",54.02,N/A,2607.56828,4.81,N/A,1.247725319
AROC,"Archrock, Inc.",8.48,0.064404762,1276.044,17.82,1.136793444,1.480729816
AROW,Arrow Financial Corp.,35.525,0.029173788,522.98026,14.09,0.405585679,0.857204239
ARQL,"ArQule, Inc.",20,N/A,2415.76,-58.14,N/A,0.50589149
ARR,"ARMOUR Residential REIT, Inc.",20.07,0.108610568,1203.46632,-1.74,-0.192798708,0.493330824
ARTNA,Artesian Resources Corp.,37.32,0.026282638,344.93775,23.4,0.612662358,0.601322743
ARVN,"Arvinas, Inc.",52.99,N/A,1961.677179,-16.42,N/A,1.563091111
ARWR,"Arrowhead Pharmaceuticals, Inc.",42.37,N/A,4222.94796,75.33,N/A,1.579873054
ASC,Ardmore Shipping Corp.,6.29,N/A,206.199294,-9.11,N/A,1.022226144
ASGN,"ASGN, Inc.",68.46,N/A,3602.016,19.89,N/A,1.56031363
ASIX,"Advansix, Inc.",19.29,N/A,542.05104,8.63,N/A,1.800695254
ASMB,"Assembly Biosciences, Inc.",20.7,N/A,532.40068,-5.51,N/A,1.106294328
ASNA,"Ascena Retail Group, Inc.",4.49,N/A,47.267849,-0.07,N/A,2.369922045
ASPS,Altisource Portfolio Solutions SA,19.56,N/A,307.19062,-24.78,N/A,1.042402722
ASRT,"Assertio Therapeutics, Inc.",1.34,N/A,108.91935,-1.76,N/A,1.714647631
ASTE,"Astec Industries, Inc.",45.915,0.009784301,1013.89362,-166.3,-1.592471951,1.301102455
AT,Atlantic Power Corp.,2.45,N/A,265.66947,5.66,N/A,0.954731903
ATEC,"Alphatec Holdings, Inc.",6.495,N/A,403.756696,-6.12,N/A,0.610339571
ATEN,"A10 Networks, Inc.",7.26,N/A,558.46686,-30.59,N/A,0.897189087
ATEX,"Anterix, Inc.",47.955,N/A,820.19148,-21.16,N/A,0.883125612
ATGE,"Adtalem Global Education, Inc.",34.23,N/A,1754.0991,17.92,N/A,1.048826665
